"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Woodcroft","Nil income",729
"Persons Place of Usual Residence","Woodcroft","$1-$149 ($1-$7,799)",452
"Persons Place of Usual Residence","Woodcroft","$150-$299 ($7,800-$15,599)",601
"Persons Place of Usual Residence","Woodcroft","$300-$399 ($15,600-$20,799)",910
"Persons Place of Usual Residence","Woodcroft","$400-$499 ($20,800-$25,999)",776
"Persons Place of Usual Residence","Woodcroft","$500-$649 ($26,000-$33,799)",784
"Persons Place of Usual Residence","Woodcroft","$650-$799 ($33,800-$41,599)",795
"Persons Place of Usual Residence","Woodcroft","$800-$999 ($41,600-$51,999)",936
"Persons Place of Usual Residence","Woodcroft","$1,000-$1,249 ($52,000-$64,999)",964
"Persons Place of Usual Residence","Woodcroft","$1,250-$1,499 ($65,000-$77,999)",606
"Persons Place of Usual Residence","Woodcroft","$1,500-$1,749 ($78,000-$90,999)",470
"Persons Place of Usual Residence","Woodcroft","$1,750-$1,999 ($91,000-$103,999)",284
"Persons Place of Usual Residence","Woodcroft","$2,000-$2,999 ($104,000-$155,999)",277
"Persons Place of Usual Residence","Woodcroft","$3,000 or more ($156,000 or more)",85
"Persons Place of Usual Residence","Woodcroft","Not stated",486
"Persons Place of Usual Residence","Woodcroft","Not applicable",2199
"Persons Place of Usual Residence","Woodcroft","Total",11375
"Persons Place of Usual Residence","Beverley","Negative income",32
"Persons Place of Usual Residence","Beverley","Nil income",480
"Persons Place of Usual Residence","Beverley","$1-$149 ($1-$7,799)",244
"Persons Place of Usual Residence","Beverley","$150-$299 ($7,800-$15,599)",480
"Persons Place of Usual Residence","Beverley","$300-$399 ($15,600-$20,799)",524
"Persons Place of Usual Residence","Beverley","$400-$499 ($20,800-$25,999)",680
"Persons Place of Usual Residence","Beverley","$500-$649 ($26,000-$33,799)",573
"Persons Place of Usual Residence","Beverley","$650-$799 ($33,800-$41,599)",514
"Persons Place of Usual Residence","Beverley","$800-$999 ($41,600-$51,999)",614
"Persons Place of Usual Residence","Beverley","$1,000-$1,249 ($52,000-$64,999)",643
"Persons Place of Usual Residence","Beverley","$1,250-$1,499 ($65,000-$77,999)",366
"Persons Place of Usual Residence","Beverley","$1,500-$1,749 ($78,000-$90,999)",314
"Persons Place of Usual Residence","Beverley","$1,750-$1,999 ($91,000-$103,999)",187
"Persons Place of Usual Residence","Beverley","$2,000-$2,999 ($104,000-$155,999)",197
"Persons Place of Usual Residence","Beverley","$3,000 or more ($156,000 or more)",46
"Persons Place of Usual Residence","Beverley","Not stated",460
"Persons Place of Usual Residence","Beverley","Not applicable",1396
"Persons Place of Usual Residence","Beverley","Total",7768
"Persons Place of Usual Residence","Flinders Park","Negative income",66
"Persons Place of Usual Residence","Flinders Park","Nil income",948
"Persons Place of Usual Residence","Flinders Park","$1-$149 ($1-$7,799)",562
"Persons Place of Usual Residence","Flinders Park","$150-$299 ($7,800-$15,599)",1075
"Persons Place of Usual Residence","Flinders Park","$300-$399 ($15,600-$20,799)",1297
"Persons Place of Usual Residence","Flinders Park","$400-$499 ($20,800-$25,999)",1280
"Persons Place of Usual Residence","Flinders Park","$500-$649 ($26,000-$33,799)",1057
"Persons Place of Usual Residence","Flinders Park","$650-$799 ($33,800-$41,599)",961
"Persons Place of Usual Residence","Flinders Park","$800-$999 ($41,600-$51,999)",1073
"Persons Place of Usual Residence","Flinders Park","$1,000-$1,249 ($52,000-$64,999)",1047
"Persons Place of Usual Residence","Flinders Park","$1,250-$1,499 ($65,000-$77,999)",695
"Persons Place of Usual Residence","Flinders Park","$1,500-$1,749 ($78,000-$90,999)",552
"Persons Place of Usual Residence","Flinders Park","$1,750-$1,999 ($91,000-$103,999)",321
"Persons Place of Usual Residence","Flinders Park","$2,000-$2,999 ($104,000-$155,999)",429
"Persons Place of Usual Residence","Flinders Park","$3,000 or more ($156,000 or more)",126
"Persons Place of Usual Residence","Flinders Park","Not stated",699
"Persons Place of Usual Residence","Flinders Park","Not applicable",2292
"Persons Place of Usual Residence","Flinders Park","Total",14465
"Persons Place of Usual Residence","Henley Beach","Negative income",46
"Persons Place of Usual Residence","Henley Beach","Nil income",931
"Persons Place of Usual Residence","Henley Beach","$1-$149 ($1-$7,799)",554
"Persons Place of Usual Residence","Henley Beach","$150-$299 ($7,800-$15,599)",904
"Persons Place of Usual Residence","Henley Beach","$300-$399 ($15,600-$20,799)",1171
"Persons Place of Usual Residence","Henley Beach","$400-$499 ($20,800-$25,999)",1060
"Persons Place of Usual Residence","Henley Beach","$500-$649 ($26,000-$33,799)",958
"Persons Place of Usual Residence","Henley Beach","$650-$799 ($33,800-$41,599)",946
"Persons Place of Usual Residence","Henley Beach","$800-$999 ($41,600-$51,999)",979
"Persons Place of Usual Residence","Henley Beach","$1,000-$1,249 ($52,000-$64,999)",1067
"Persons Place of Usual Residence","Henley Beach","$1,250-$1,499 ($65,000-$77,999)",729
"Persons Place of Usual Residence","Henley Beach","$1,500-$1,749 ($78,000-$90,999)",652
"Persons Place of Usual Residence","Henley Beach","$1,750-$1,999 ($91,000-$103,999)",493
"Persons Place of Usual Residence","Henley Beach","$2,000-$2,999 ($104,000-$155,999)",731
"Persons Place of Usual Residence","Henley Beach","$3,000 or more ($156,000 or more)",481
"Persons Place of Usual Residence","Henley Beach","Not stated",769
"Persons Place of Usual Residence","Henley Beach","Not applicable",2368
"Persons Place of Usual Residence","Henley Beach","Total",14840
"Persons Place of Usual Residence","Hindmarsh - Brompton","Negative income",58
"Persons Place of Usual Residence","Hindmarsh - Brompton","Nil income",1239
"Persons Place of Usual Residence","Hindmarsh - Brompton","$1-$149 ($1-$7,799)",589
"Persons Place of Usual Residence","Hindmarsh - Brompton","$150-$299 ($7,800-$15,599)",1343
"Persons Place of Usual Residence","Hindmarsh - Brompton","$300-$399 ($15,600-$20,799)",1488
"Persons Place of Usual Residence","Hindmarsh - Brompton","$400-$499 ($20,800-$25,999)",1411
"Persons Place of Usual Residence","Hindmarsh - Brompton","$500-$649 ($26,000-$33,799)",1097
"Persons Place of Usual Residence","Hindmarsh - Brompton","$650-$799 ($33,800-$41,599)",1087
"Persons Place of Usual Residence","Hindmarsh - Brompton","$800-$999 ($41,600-$51,999)",1175
"Persons Place of Usual Residence","Hindmarsh - Brompton","$1,000-$1,249 ($52,000-$64,999)",1338
"Persons Place of Usual Residence","Hindmarsh - Brompton","$1,250-$1,499 ($65,000-$77,999)",886
"Persons Place of Usual Residence","Hindmarsh - Brompton","$1,500-$1,749 ($78,000-$90,999)",860
"Persons Place of Usual Residence","Hindmarsh - Brompton","$1,750-$1,999 ($91,000-$103,999)",543
"Persons Place of Usual Residence","Hindmarsh - Brompton","$2,000-$2,999 ($104,000-$155,999)",597
"Persons Place of Usual Residence","Hindmarsh - Brompton","$3,000 or more ($156,000 or more)",197
"Persons Place of Usual Residence","Hindmarsh - Brompton","Not stated",1176
"Persons Place of Usual Residence","Hindmarsh - Brompton","Not applicable",2557
"Persons Place of Usual Residence","Hindmarsh - Brompton","Total",17624
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","Negative income",22
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","Nil income",315
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$1-$149 ($1-$7,799)",195
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$150-$299 ($7,800-$15,599)",423
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$300-$399 ($15,600-$20,799)",564
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$400-$499 ($20,800-$25,999)",554
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$500-$649 ($26,000-$33,799)",357
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$650-$799 ($33,800-$41,599)",438
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$800-$999 ($41,600-$51,999)",493
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$1,000-$1,249 ($52,000-$64,999)",397
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$1,250-$1,499 ($65,000-$77,999)",295
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$1,500-$1,749 ($78,000-$90,999)",201
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$1,750-$1,999 ($91,000-$103,999)",124
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$2,000-$2,999 ($104,000-$155,999)",101
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","$3,000 or more ($156,000 or more)",50
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","Not stated",393
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","Not applicable",951
"Persons Place of Usual Residence","Royal Park - Hendon - Albert Park","Total",5868
"Persons Place of Usual Residence","Seaton - Grange","Negative income",153
"Persons Place of Usual Residence","Seaton - Grange","Nil income",932
"Persons Place of Usual Residence","Seaton - Grange","$1-$149 ($1-$7,799)",593
"Persons Place of Usual Residence","Seaton - Grange","$150-$299 ($7,800-$15,599)",1162
"Persons Place of Usual Residence","Seaton - Grange","$300-$399 ($15,600-$20,799)",1514
"Persons Place of Usual Residence","Seaton - Grange","$400-$499 ($20,800-$25,999)",1398
"Persons Place of Usual Residence","Seaton - Grange","$500-$649 ($26,000-$33,799)",1087
"Persons Place of Usual Residence","Seaton - Grange","$650-$799 ($33,800-$41,599)",1053
"Persons Place of Usual Residence","Seaton - Grange","$800-$999 ($41,600-$51,999)",1259
"Persons Place of Usual Residence","Seaton - Grange","$1,000-$1,249 ($52,000-$64,999)",1158
"Persons Place of Usual Residence","Seaton - Grange","$1,250-$1,499 ($65,000-$77,999)",766
"Persons Place of Usual Residence","Seaton - Grange","$1,500-$1,749 ($78,000-$90,999)",599
"Persons Place of Usual Residence","Seaton - Grange","$1,750-$1,999 ($91,000-$103,999)",396
"Persons Place of Usual Residence","Seaton - Grange","$2,000-$2,999 ($104,000-$155,999)",505
"Persons Place of Usual Residence","Seaton - Grange","$3,000 or more ($156,000 or more)",236
"Persons Place of Usual Residence","Seaton - Grange","Not stated",983
"Persons Place of Usual Residence","Seaton - Grange","Not applicable",2487
"Persons Place of Usual Residence","Seaton - Grange","Total",16279
"Persons Place of Usual Residence","West Lakes","Negative income",47
"Persons Place of Usual Residence","West Lakes","Nil income",801
"Persons Place of Usual Residence","West Lakes","$1-$149 ($1-$7,799)",536
"Persons Place of Usual Residence","West Lakes","$150-$299 ($7,800-$15,599)",898
"Persons Place of Usual Residence","West Lakes","$300-$399 ($15,600-$20,799)",1108
"Persons Place of Usual Residence","West Lakes","$400-$499 ($20,800-$25,999)",1249
"Persons Place of Usual Residence","West Lakes","$500-$649 ($26,000-$33,799)",1114
"Persons Place of Usual Residence","West Lakes","$650-$799 ($33,800-$41,599)",961
"Persons Place of Usual Residence","West Lakes","$800-$999 ($41,600-$51,999)",1072
"Persons Place of Usual Residence","West Lakes","$1,000-$1,249 ($52,000-$64,999)",1014
"Persons Place of Usual Residence","West Lakes","$1,250-$1,499 ($65,000-$77,999)",721
"Persons Place of Usual Residence","West Lakes","$1,500-$1,749 ($78,000-$90,999)",616
"Persons Place of Usual Residence","West Lakes","$1,750-$1,999 ($91,000-$103,999)",446
"Persons Place of Usual Residence","West Lakes","$2,000-$2,999 ($104,000-$155,999)",628
"Persons Place of Usual Residence","West Lakes","$3,000 or more ($156,000 or more)",405
"Persons Place of Usual Residence","West Lakes","Not stated",839
"Persons Place of Usual Residence","West Lakes","Not applicable",1917
"Persons Place of Usual Residence","West Lakes","Total",14363
"Persons Place of Usual Residence","Woodville - Cheltenham","Negative income",78
"Persons Place of Usual Residence","Woodville - Cheltenham","Nil income",1426
"Persons Place of Usual Residence","Woodville - Cheltenham","$1-$149 ($1-$7,799)",708
"Persons Place of Usual Residence","Woodville - Cheltenham","$150-$299 ($7,800-$15,599)",1328
"Persons Place of Usual Residence","Woodville - Cheltenham","$300-$399 ($15,600-$20,799)",1485
"Persons Place of Usual Residence","Woodville - Cheltenham","$400-$499 ($20,800-$25,999)",1346
"Persons Place of Usual Residence","Woodville - Cheltenham","$500-$649 ($26,000-$33,799)",1103
"Persons Place of Usual Residence","Woodville - Cheltenham","$650-$799 ($33,800-$41,599)",1288
"Persons Place of Usual Residence","Woodville - Cheltenham","$800-$999 ($41,600-$51,999)",1325
"Persons Place of Usual Residence","Woodville - Cheltenham","$1,000-$1,249 ($52,000-$64,999)",1204
"Persons Place of Usual Residence","Woodville - Cheltenham","$1,250-$1,499 ($65,000-$77,999)",740
"Persons Place of Usual Residence","Woodville - Cheltenham","$1,500-$1,749 ($78,000-$90,999)",601
"Persons Place of Usual Residence","Woodville - Cheltenham","$1,750-$1,999 ($91,000-$103,999)",367
"Persons Place of Usual Residence","Woodville - Cheltenham","$2,000-$2,999 ($104,000-$155,999)",380
"Persons Place of Usual Residence","Woodville - Cheltenham","$3,000 or more ($156,000 or more)",135
"Persons Place of Usual Residence","Woodville - Cheltenham","Not stated",975
"Persons Place of Usual Residence","Woodville - Cheltenham","Not applicable",2982
"Persons Place of Usual Residence","Woodville - Cheltenham","Total",17487
"Persons Place of Usual Residence","Dry Creek - South","Negative income",0
"Persons Place of Usual Residence","Dry Creek - South","Nil income",0
"Persons Place of Usual Residence","Dry Creek - South","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Dry Creek - South","$150-$299 ($7,800-$15,599)",0
"Persons Place of Usual Residence","Dry Creek - South","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Dry Creek - South","$400-$499 ($20,800-$25,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Dry Creek - South","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Dry Creek - South","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$2,000-$2,999 ($104,000-$155,999)",0
"Persons Place of Usual Residence","Dry Creek - South","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Dry Creek - South","Not stated",0
"Persons Place of Usual Residence","Dry Creek - South","Not applicable",0
"Persons Place of Usual Residence","Dry Creek - South","Total",0
"Persons Place of Usual Residence","Largs Bay - Semaphore","Negative income",48
"Persons Place of Usual Residence","Largs Bay - Semaphore","Nil income",800
"Persons Place of Usual Residence","Largs Bay - Semaphore","$1-$149 ($1-$7,799)",488
"Persons Place of Usual Residence","Largs Bay - Semaphore","$150-$299 ($7,800-$15,599)",877
"Persons Place of Usual Residence","Largs Bay - Semaphore","$300-$399 ($15,600-$20,799)",1058
"Persons Place of Usual Residence","Largs Bay - Semaphore","$400-$499 ($20,800-$25,999)",1140
"Persons Place of Usual Residence","Largs Bay - Semaphore","$500-$649 ($26,000-$33,799)",955
"Persons Place of Usual Residence","Largs Bay - Semaphore","$650-$799 ($33,800-$41,599)",939
"Persons Place of Usual Residence","Largs Bay - Semaphore","$800-$999 ($41,600-$51,999)",1125
"Persons Place of Usual Residence","Largs Bay - Semaphore","$1,000-$1,249 ($52,000-$64,999)",1165
"Persons Place of Usual Residence","Largs Bay - Semaphore","$1,250-$1,499 ($65,000-$77,999)",819
"Persons Place of Usual Residence","Largs Bay - Semaphore","$1,500-$1,749 ($78,000-$90,999)",700
"Persons Place of Usual Residence","Largs Bay - Semaphore","$1,750-$1,999 ($91,000-$103,999)",538
"Persons Place of Usual Residence","Largs Bay - Semaphore","$2,000-$2,999 ($104,000-$155,999)",559
"Persons Place of Usual Residence","Largs Bay - Semaphore","$3,000 or more ($156,000 or more)",229
"Persons Place of Usual Residence","Largs Bay - Semaphore","Not stated",894
"Persons Place of Usual Residence","Largs Bay - Semaphore","Not applicable",2152
"Persons Place of Usual Residence","Largs Bay - Semaphore","Total",14485
"Persons Place of Usual Residence","North Haven","Negative income",68
"Persons Place of Usual Residence","North Haven","Nil income",842
"Persons Place of Usual Residence","North Haven","$1-$149 ($1-$7,799)",555
"Persons Place of Usual Residence","North Haven","$150-$299 ($7,800-$15,599)",964
"Persons Place of Usual Residence","North Haven","$300-$399 ($15,600-$20,799)",1309
"Persons Place of Usual Residence","North Haven","$400-$499 ($20,800-$25,999)",1187
"Persons Place of Usual Residence","North Haven","$500-$649 ($26,000-$33,799)",1063
"Persons Place of Usual Residence","North Haven","$650-$799 ($33,800-$41,599)",957
"Persons Place of Usual Residence","North Haven","$800-$999 ($41,600-$51,999)",1050
"Persons Place of Usual Residence","North Haven","$1,000-$1,249 ($52,000-$64,999)",1067
"Persons Place of Usual Residence","North Haven","$1,250-$1,499 ($65,000-$77,999)",684
"Persons Place of Usual Residence","North Haven","$1,500-$1,749 ($78,000-$90,999)",510
"Persons Place of Usual Residence","North Haven","$1,750-$1,999 ($91,000-$103,999)",367
"Persons Place of Usual Residence","North Haven","$2,000-$2,999 ($104,000-$155,999)",442
"Persons Place of Usual Residence","North Haven","$3,000 or more ($156,000 or more)",155
"Persons Place of Usual Residence","North Haven","Not stated",870
"Persons Place of Usual Residence","North Haven","Not applicable",2154
"Persons Place of Usual Residence","North Haven","Total",14246
"Persons Place of Usual Residence","Port Adelaide","Negative income",54
"Persons Place of Usual Residence","Port Adelaide","Nil income",710
"Persons Place of Usual Residence","Port Adelaide","$1-$149 ($1-$7,799)",379
"Persons Place of Usual Residence","Port Adelaide","$150-$299 ($7,800-$15,599)",909
"Persons Place of Usual Residence","Port Adelaide","$300-$399 ($15,600-$20,799)",1084
"Persons Place of Usual Residence","Port Adelaide","$400-$499 ($20,800-$25,999)",990
"Persons Place of Usual Residence","Port Adelaide","$500-$649 ($26,000-$33,799)",710
"Persons Place of Usual Residence","Port Adelaide","$650-$799 ($33,800-$41,599)",724
"Persons Place of Usual Residence","Port Adelaide","$800-$999 ($41,600-$51,999)",885
"Persons Place of Usual Residence","Port Adelaide","$1,000-$1,249 ($52,000-$64,999)",796
"Persons Place of Usual Residence","Port Adelaide","$1,250-$1,499 ($65,000-$77,999)",421
"Persons Place of Usual Residence","Port Adelaide","$1,500-$1,749 ($78,000-$90,999)",346
"Persons Place of Usual Residence","Port Adelaide","$1,750-$1,999 ($91,000-$103,999)",213
"Persons Place of Usual Residence","Port Adelaide","$2,000-$2,999 ($104,000-$155,999)",196
"Persons Place of Usual Residence","Port Adelaide","$3,000 or more ($156,000 or more)",50
"Persons Place of Usual Residence","Port Adelaide","Not stated",721
"Persons Place of Usual Residence","Port Adelaide","Not applicable",1610
"Persons Place of Usual Residence","Port Adelaide","Total",10785
"Persons Place of Usual Residence","The Parks","Negative income",149
"Persons Place of Usual Residence","The Parks","Nil income",1753
"Persons Place of Usual Residence","The Parks","$1-$149 ($1-$7,799)",713
"Persons Place of Usual Residence","The Parks","$150-$299 ($7,800-$15,599)",1836
"Persons Place of Usual Residence","The Parks","$300-$399 ($15,600-$20,799)",1988
"Persons Place of Usual Residence","The Parks","$400-$499 ($20,800-$25,999)",1611
"Persons Place of Usual Residence","The Parks","$500-$649 ($26,000-$33,799)",1051
"Persons Place of Usual Residence","The Parks","$650-$799 ($33,800-$41,599)",1238
"Persons Place of Usual Residence","The Parks","$800-$999 ($41,600-$51,999)",1204
"Persons Place of Usual Residence","The Parks","$1,000-$1,249 ($52,000-$64,999)",1011
"Persons Place of Usual Residence","The Parks","$1,250-$1,499 ($65,000-$77,999)",556
"Persons Place of Usual Residence","The Parks","$1,500-$1,749 ($78,000-$90,999)",405
"Persons Place of Usual Residence","The Parks","$1,750-$1,999 ($91,000-$103,999)",222
"Persons Place of Usual Residence","The Parks","$2,000-$2,999 ($104,000-$155,999)",187
"Persons Place of Usual Residence","The Parks","$3,000 or more ($156,000 or more)",75
"Persons Place of Usual Residence","The Parks","Not stated",1249
"Persons Place of Usual Residence","The Parks","Not applicable",3190
"Persons Place of Usual Residence","The Parks","Total",18442
"Persons Place of Usual Residence","Torrens Island","Negative income",0
"Persons Place of Usual Residence","Torrens Island","Nil income",0
"Persons Place of Usual Residence","Torrens Island","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Torrens Island","$150-$299 ($7,800-$15,599)",0
"Persons Place of Usual Residence","Torrens Island","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Torrens Island","$400-$499 ($20,800-$25,999)",6
"Persons Place of Usual Residence","Torrens Island","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Torrens Island","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Torrens Island","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Torrens Island","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Torrens Island","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Torrens Island","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Torrens Island","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Torrens Island","$2,000-$2,999 ($104,000-$155,999)",0
"Persons Place of Usual Residence","Torrens Island","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Torrens Island","Not stated",0
"Persons Place of Usual Residence","Torrens Island","Not applicable",0
"Persons Place of Usual Residence","Torrens Island","Total",5
"Persons Place of Usual Residence","Adelaide Airport","Negative income",0
"Persons Place of Usual Residence","Adelaide Airport","Nil income",0
"Persons Place of Usual Residence","Adelaide Airport","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Adelaide Airport","$150-$299 ($7,800-$15,599)",0
"Persons Place of Usual Residence","Adelaide Airport","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Adelaide Airport","$400-$499 ($20,800-$25,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Adelaide Airport","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Adelaide Airport","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$2,000-$2,999 ($104,000-$155,999)",0
"Persons Place of Usual Residence","Adelaide Airport","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Adelaide Airport","Not stated",0
"Persons Place of Usual Residence","Adelaide Airport","Not applicable",0
"Persons Place of Usual Residence","Adelaide Airport","Total",0
"Persons Place of Usual Residence","Fulham","Negative income",13
"Persons Place of Usual Residence","Fulham","Nil income",157
"Persons Place of Usual Residence","Fulham","$1-$149 ($1-$7,799)",116
"Persons Place of Usual Residence","Fulham","$150-$299 ($7,800-$15,599)",174
"Persons Place of Usual Residence","Fulham","$300-$399 ($15,600-$20,799)",262
"Persons Place of Usual Residence","Fulham","$400-$499 ($20,800-$25,999)",196
"Persons Place of Usual Residence","Fulham","$500-$649 ($26,000-$33,799)",188
"Persons Place of Usual Residence","Fulham","$650-$799 ($33,800-$41,599)",169
"Persons Place of Usual Residence","Fulham","$800-$999 ($41,600-$51,999)",173
"Persons Place of Usual Residence","Fulham","$1,000-$1,249 ($52,000-$64,999)",183
"Persons Place of Usual Residence","Fulham","$1,250-$1,499 ($65,000-$77,999)",123
"Persons Place of Usual Residence","Fulham","$1,500-$1,749 ($78,000-$90,999)",108
"Persons Place of Usual Residence","Fulham","$1,750-$1,999 ($91,000-$103,999)",84
"Persons Place of Usual Residence","Fulham","$2,000-$2,999 ($104,000-$155,999)",114
"Persons Place of Usual Residence","Fulham","$3,000 or more ($156,000 or more)",54
"Persons Place of Usual Residence","Fulham","Not stated",144
"Persons Place of Usual Residence","Fulham","Not applicable",443
"Persons Place of Usual Residence","Fulham","Total",2702
"Persons Place of Usual Residence","Lockleys","Negative income",63
"Persons Place of Usual Residence","Lockleys","Nil income",928
"Persons Place of Usual Residence","Lockleys","$1-$149 ($1-$7,799)",490
"Persons Place of Usual Residence","Lockleys","$150-$299 ($7,800-$15,599)",778
"Persons Place of Usual Residence","Lockleys","$300-$399 ($15,600-$20,799)",962
"Persons Place of Usual Residence","Lockleys","$400-$499 ($20,800-$25,999)",1057
"Persons Place of Usual Residence","Lockleys","$500-$649 ($26,000-$33,799)",856
"Persons Place of Usual Residence","Lockleys","$650-$799 ($33,800-$41,599)",862
"Persons Place of Usual Residence","Lockleys","$800-$999 ($41,600-$51,999)",994
"Persons Place of Usual Residence","Lockleys","$1,000-$1,249 ($52,000-$64,999)",956
"Persons Place of Usual Residence","Lockleys","$1,250-$1,499 ($65,000-$77,999)",606
"Persons Place of Usual Residence","Lockleys","$1,500-$1,749 ($78,000-$90,999)",569
"Persons Place of Usual Residence","Lockleys","$1,750-$1,999 ($91,000-$103,999)",347
"Persons Place of Usual Residence","Lockleys","$2,000-$2,999 ($104,000-$155,999)",464
"Persons Place of Usual Residence","Lockleys","$3,000 or more ($156,000 or more)",223
"Persons Place of Usual Residence","Lockleys","Not stated",594
"Persons Place of Usual Residence","Lockleys","Not applicable",1956
"Persons Place of Usual Residence","Lockleys","Total",12711
"Persons Place of Usual Residence","Plympton","Negative income",102
"Persons Place of Usual Residence","Plympton","Nil income",1947
"Persons Place of Usual Residence","Plympton","$1-$149 ($1-$7,799)",876
"Persons Place of Usual Residence","Plympton","$150-$299 ($7,800-$15,599)",1555
"Persons Place of Usual Residence","Plympton","$300-$399 ($15,600-$20,799)",1843
"Persons Place of Usual Residence","Plympton","$400-$499 ($20,800-$25,999)",1928
"Persons Place of Usual Residence","Plympton","$500-$649 ($26,000-$33,799)",1757
"Persons Place of Usual Residence","Plympton","$650-$799 ($33,800-$41,599)",1741
"Persons Place of Usual Residence","Plympton","$800-$999 ($41,600-$51,999)",1847
"Persons Place of Usual Residence","Plympton","$1,000-$1,249 ($52,000-$64,999)",1859
"Persons Place of Usual Residence","Plympton","$1,250-$1,499 ($65,000-$77,999)",1164
"Persons Place of Usual Residence","Plympton","$1,500-$1,749 ($78,000-$90,999)",973
"Persons Place of Usual Residence","Plympton","$1,750-$1,999 ($91,000-$103,999)",586
"Persons Place of Usual Residence","Plympton","$2,000-$2,999 ($104,000-$155,999)",752
"Persons Place of Usual Residence","Plympton","$3,000 or more ($156,000 or more)",265
"Persons Place of Usual Residence","Plympton","Not stated",1555
"Persons Place of Usual Residence","Plympton","Not applicable",3481
"Persons Place of Usual Residence","Plympton","Total",24241
"Persons Place of Usual Residence","Richmond (SA)","Negative income",81
"Persons Place of Usual Residence","Richmond (SA)","Nil income",1302
"Persons Place of Usual Residence","Richmond (SA)","$1-$149 ($1-$7,799)",585
"Persons Place of Usual Residence","Richmond (SA)","$150-$299 ($7,800-$15,599)",1153
"Persons Place of Usual Residence","Richmond (SA)","$300-$399 ($15,600-$20,799)",1470
"Persons Place of Usual Residence","Richmond (SA)","$400-$499 ($20,800-$25,999)",1356
"Persons Place of Usual Residence","Richmond (SA)","$500-$649 ($26,000-$33,799)",1155
"Persons Place of Usual Residence","Richmond (SA)","$650-$799 ($33,800-$41,599)",1099
"Persons Place of Usual Residence","Richmond (SA)","$800-$999 ($41,600-$51,999)",1238
